FIPS,POP_SQMI,AVE_HH_SZ
17127,61.3,2.38
17129,40.1,2.44
17131,28.1,2.41
17133,87.9,2.59
17135,40.8,2.38
17137,60.8,2.3
17139,43.2,2.51
17141,68.6,2.54
17143,293.4,2.39
17145,49,2.38
17147,39.1,2.46
17149,18.9,2.38
17151,11,2.23
17153,30,2.32
17155,33.4,2.39
17157,55.2,2.37
17159,44.5,2.36
17161,322.2,2.34
17163,395.2,2.53
17165,63.2,2.32
17167,227.4,2.33
17169,16,2.33
17171,20.1,2.4
17173,28.5,2.4
17175,20.3,2.43
17177,81.8,2.36
17179,206,2.45
17181,41.4,2.41
17183,87.2,2.41
17185,50.3,2.37
17187,31.5,2.4
17189,25.8,2.44
17191,23,2.35
17193,28.7,2.26
17195,82,2.42
17197,825.8,2.97
17199,154.4,2.35
17201,558.1,2.52
17203,73.3,2.64
18001,105.4,2.83
18003,571.5,2.53
18005,202.2,2.53
18007,21.8,2.52
18009,73.9,2.41
18011,162.5,2.65
18013,49.1,2.43
18015,54.8,2.54
18017,92.8,2.55
18019,315.8,2.46
18021,73.3,2.54
18023,80.9,2.68
18025,35.4,2.48
18027,75.5,2.74
18029,162.8,2.64
18031,72.2,2.54
18033,119.5,2.61
18035,293.9,2.34
18037,100.4,2.54
18039,443.1,2.76
18041,110.2,2.46
18043,529.5,2.48
18045,41.5,2.46
18047,59.1,2.67
18049,54.7,2.5
18051,69.6,2.47
18053,163.5,2.39
18055,60.1,2.44
18057,831.2,2.73
18059,250.2,2.64
18061,84,2.56
18063,408.7,2.71
18065,124.5,2.43
18067,286.5,2.38
18069,95.6,2.52
18071,87.1,2.53
18073,61.1,2.66
18075,54.8,2.58
18077,89.9,2.42
18079,74.6,2.64
18081,484.6,2.63
18083,72.5,2.35
18085,145.6,2.6
18087,102.9,3.17
18089,982.1,2.6
18091,185.3,2.48
18093,101.7,2.42
18095,286,2.41
18097,2362.4,2.42
18099,105.2,2.66
18101,30.2,2.43
18103,95.5,2.49
18105,354.8,2.24
18107,76.6,2.47
18109,171.6,2.65
18111,35.7,2.56
18113,117.1,2.69
18115,70.5,2.45
18117,48,2.49
18119,54.6,2.52
18121,38.2,2.51
18123,50.1,2.38
18125,37.2,2.44
18127,408,2.6
18129,62.2,2.52
18131,29.8,2.5
18133,79.1,2.52
18135,55.9,2.47
18137,67.4,2.63
18139,41.7,2.54
18141,593.3,2.48
18143,126.9,2.54
18145,108.9,2.53
18147,53.4,2.55
18149,74.2,2.58
18151,108.8,2.47
18153,47.1,2.45
18155,49.3,2.6
18157,377,2.42
18159,59.6,2.47
18161,45,2.54
18163,780.1,2.31
18165,61.9,2.42
18167,267.9,2.38
18169,76.3,2.43
18171,22.8,2.52
18173,164.6,2.62
18175,55,2.58
18177,166.2,2.41
18179,76.6,2.52
18181,48.7,2.5
18183,102,2.53
19001,13.1,2.29
19003,8.9,2.28
19005,21.4,2.39
19007,24.2,2.27
19009,13.2,2.29
19011,36.5,2.5
19013,235.9,2.38
19015,47,2.38
19017,58.5,2.4
19019,37.4,2.53
19021,35.2,2.56
19023,26.2,2.39
19025,17.6,2.22
19027,36.7,2.34
19029,23.9,2.28
19031,32.2,2.42
19033,76.8,2.22
19035,20.1,2.25
19037,23.9,2.36
19039,22.2,2.47
19041,29.7,2.26
19043,23,2.35
19045,67.7,2.39
19047,23.7,2.57
19049,151.7,2.6
19051,17.9,2.7
19053,15.8,2.42
19055,31,2.48
19057,93.1,2.33
19059,43.5,2.18
19061,161.7,2.43
19063,24.5,2.3
19065,27.7,2.33
19067,32.2,2.32
19069,18.7,2.42
19071,14,2.38
19073,15.9,2.3
19075,25,2.4
19077,18.2,2.37
19079,26.4,2.37
19081,19.2,2.35
19083,30.4,2.28
19085,20.9,2.45
19087,45.7,2.43
19089,20,2.37
19091,22,2.3
19093,16.1,2.28
19095,28.2,2.41
19097,30.5,2.37
19099,50.6,2.38
19101,40.7,2.21
19103,243.1,2.33
19105,35.9,2.36
19107,17.8,2.35
19109,15.6,2.28
19111,65.1,2.35
19113,316.7,2.39
19115,27,2.59
19117,20.3,2.39
19119,20.2,2.57
19121,29.5,2.57
19123,38.9,2.42
19125,59.9,2.48
19127,71.3,2.53
19129,34.9,2.58
19131,23.5,2.4
19133,12.9,2.23
19135,18.4,2.44
19137,24.4,2.31
19139,97.2,2.57
19141,25.1,2.31
19143,15.5,2.37
19145,29.3,2.26
19147,16.2,2.27
19149,29.8,2.49
19151,12.1,2.22
19153,840.6,2.48
19155,99.6,2.48
19157,32.6,2.29
19159,9.6,2.42
19161,17.3,2.26
19163,374.8,2.42
19165,20.2,2.35
19167,46.4,2.7
